Jahrgang;Alter;Groesse;Geschlecht;AlterV;AlterM;GroesseV;GroesseM;Geschwister;Farbe;AusgKomm;AnzSchuhe;AusgSchuhe;Essgewohnheiten;Raucher;NoteMathe;MatheZufr;Studiengang;Fragebogen
2014;23;166;Frau;58;53;180;165;0;rot;250;23;500;;;1,0;sehr zufrieden;;
2014;19;173;Mann;54;50;175;165;1;schwarz;630;4;250;;;1,0;geht so;;
2014;19;187;Mann;50;46;182;172;1;weiss;540;8;210;;;1,0;sehr zufrieden;;
2014;26;174;Mann;65;49;160;158;2;schwarz;132;7;200;;;1,0;sehr zufrieden;;
2014;21;177;Frau;50;49;195;183;2;schwarz;200;30;400;;;1,3;sehr zufrieden;;
2014;22;185;Mann;54;50;180;160;1;schwarz;600;10;100;;;1,3;sehr zufrieden;;
2014;20;164;Frau;57;57;172;166;0;weiss;450;22;500;;;1,7;sehr zufrieden;;
2014;18;165;Frau;45;44;180;155;1;schwarz;160;36;400;;;1,7;sehr zufrieden;;
2014;22;170;Frau;54;51;173;165;1;weiss;350;50;300;;;1,7;sehr zufrieden;;
2014;18;159;Frau;58;51;168;172;1;weiss;264;50;150;;;1,7;sehr zufrieden;;
2014;20;190;Mann;55;51;175;172;2;schwarz;700;5;150;;;1,7;sehr zufrieden;;
2014;19;170;Frau;58;54;173;174;1;schwarz;140;20;120;;;1,7;sehr zufrieden;;
2014;29;160;Frau;59;57;172;158;0;blau;50;20;100;;;1,7;zufrieden;;
2014;21;158;Frau;53;49;163;158;1;weiss;50;10;500;;;2,0;zufrieden;;
2014;20;169;Frau;43;42;182;164;5;weiss;450;22;450;;;2,0;sehr zufrieden;;
2014;21;164;Frau;57;51;181;159;0;weiss;370;35;400;;;2,0;sehr zufrieden;;
2014;22;168;Frau;59;53;180;165;1;weiss;300;35;350;;;2,0;sehr zufrieden;;
2014;19;160;Frau;48;48;180;161;1;weiss;750;20;300;;;2,0;zufrieden;;
2014;19;160;Frau;40;37;180;170;2;silber;100;10;300;;;2,0;zufrieden;;
