"Zeitstempel","Bitte tragen Sie Ihr Geburtsdatum ein (Tag und Monat)","Wie hoch schätzen Sie die Wahrscheinlichkeit (in Prozent), dass mindestens zwei Personen am gleichen Tag Geburtstag haben?"
"2025/11/10 1:05:46 PM MEZ","07-05","100"
"2025/11/10 1:08:16 PM MEZ","11-28","68"
"2025/11/10 1:08:21 PM MEZ","11-13","85"
"2025/11/10 1:08:31 PM MEZ","06-22","90"
"2025/11/10 1:08:32 PM MEZ","05-01","3"
"2025/11/10 1:08:37 PM MEZ","12-04","0"
"2025/11/10 1:08:40 PM MEZ","05-27","37"
"2025/11/10 1:08:40 PM MEZ","08-17","75"
"2025/11/10 1:08:41 PM MEZ","12-31","60"
"2025/11/10 1:08:44 PM MEZ","02-14","99"
"2025/11/10 1:08:47 PM MEZ","10-25","20"
"2025/11/10 1:08:54 PM MEZ","06-27","2"
"2025/11/10 1:08:56 PM MEZ","03-05","50"
"2025/11/10 1:09:00 PM MEZ","01-04","60"
"2025/11/10 1:09:08 PM MEZ","08-21","10"
"2025/11/10 1:09:29 PM MEZ","07-18","20"
"2025/11/10 1:09:34 PM MEZ","01-21","99"
"2025/11/10 1:09:36 PM MEZ","09-06","99"
"2025/11/10 1:09:38 PM MEZ","06-12","50"
"2025/11/10 1:09:39 PM MEZ","02-16","80"
"2025/11/10 1:09:42 PM MEZ","09-14","90"
"2025/11/10 1:09:42 PM MEZ","11-11","90"
"2025/11/10 1:09:43 PM MEZ","01-28","0.1"
"2025/11/10 1:09:44 PM MEZ","08-25","20"
"2025/11/10 1:09:45 PM MEZ","12-13","83"
"2025/11/10 1:09:51 PM MEZ","07-27","9"
"2025/11/10 1:09:57 PM MEZ","09-08","10"
"2025/11/10 1:09:59 PM MEZ","02-25","10"
"2025/11/10 1:10:02 PM MEZ","05-22","5"
"2025/11/10 1:10:08 PM MEZ","08-03","98"
"2025/11/10 1:10:15 PM MEZ","01-28","5"
"2025/11/10 1:11:17 PM MEZ","04-17","99"
"2025/11/10 1:29:59 PM MEZ","12-05","50"
